kategorie,zarizeni,nazev_poskytovatele,adresa_poskytovatele,ico,nazev_zarizeni_poskytovatele,vedouci_zarizeni,adresa_zarizeni_poskytovatele,datum_sluzba_od,forma_poskytovani_soc_sluz,cilova_skupina_klientu,vekova_kategorie,pocet_luzek,provozni_doba,kontakty
odlehčovací služby,Odlehčovací služby (1639265),"HOSPIC Frýdek-Místek, p.o.","I. J. Pešiny 3640, Frýdek, 738 01 Frýdek-Místek 1",72046546,"HOSPIC Frýdek-Místek, p.o.",Ing. Jan Jursa,"I. J. Pešiny 3640, Frýdek, 738 01 Frýdek-Místek 1",1.9.2010,pobytové,"osoby s chronickým onemocněním
osoby s tělesným postižením
osoby se zdravotním postižením
senioři","mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 8,poskytuje nepřetržitě,"['595 538 111', '595 538 110', 'info@hospicfm.cz', 'www.hospicfm.cz']"
odlehčovací služby,Odlehčovací služby (4019506),"Hospic knížete Václava, o.p.s.","Buštěhradská 77, Dubí, 272 03 Kladno 3",24170470,Hospic knížete Václava o.p.s.,"Ing. Lubomír Kníže, MBA","Ctiborova 3091, Kladno, 272 01 Kladno 1",21.5.2012,terénní,"osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 2,"pondělí:
8:00 - 12:00
úterý:
9:00 - 10:00
středa:
8:00 - 12:00
čtvrtek:
13:00 - 15:00
pátek:
8:00 - 10:00
sobota:
neděle:","['739 738 819', 'info@hkv-kl.cz', 'www.hospicknizetevaclava.cz', 'www.hkv-kl.cz']"
odlehčovací služby,Odlehčovací služby (9004092),Hospic na Svatém Kopečku,"nám. Sadové 4/24, Svatý Kopeček, 779 00 Olomouc 9",73634671,Hospic na Svatém Kopečku,Ing. Marta Šťastná,"nám. Sadové 4/24, Svatý Kopeček, 779 00 Olomouc 9",1.2.2009,pobytové,osoby s chronickým onemocněním,bez omezení věku,počet lůžek - 30,poskytuje nepřetržitě,"['585 319 754', 'info@hospickopecek.charita.cz', 'www.hospickopecek.charita.cz']"
odlehčovací služby,Odlehčovací služby (9679100),Hospic sv. Alžběty o.p.s.,"Kamenná 207/36, Brno-střed, Štýřice, 639 00 Brno 39",26604582,Hospic sv. Alžběty,Mgr. Karel Kosina,"Červený kopec 510/1, Brno-střed, Štýřice, 639 00 Brno 39",15.4.2019,terénní,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 7
Jedná se o okamžitou maximální kapacitu služby.","pondělí:
8:00 - 17:00
úterý:
8:00 - 17:00
středa:
8:00 - 17:00
čtvrtek:
8:00 - 17:00
pátek:
8:00 - 17:00
sobota:
8:00 - 17:00
neděle:
8:00 - 17:00","['737 073 906', '543 421 491', '543211060', 'tos@hospicbrno.cz', 'http://www.hospicbrno.cz']"
odlehčovací služby,Odlehčovací služby (9581744),"Hospic sv. Jana N. Neumanna, o.p.s.","Neumannova 144, Prachatice I, 383 01 Prachatice",70853517,Domácí hospic sv. Jakuba,Mgr. Monika Levá,"Neumannova 144, Prachatice I, 383 01 Prachatice",1.4.2019,terénní,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
Umírající osoby v domácím prostředí.
osoby se zdravotním postižením
osoby v krizi
Rodinný příslušník či osoba blízká umírajícímu v období pre finem, in finem, ante finem. Osoby ve fázi zármutku.
senioři",bez omezení věku,"počet klientů - 2
maximální okamžitá kapacita","pondělí:
7:00 - 12:00, 12:30 - 15:30
úterý:
7:00 - 12:00, 12:30 - 15:30
středa:
7:00 - 12:00, 12:30 - 15:30
čtvrtek:
7:00 - 12:00, 12:30 - 15:30
pátek:
7:00 - 12:00, 12:30 - 15:30 - soboty a neděle dle domluvy
sobota:
neděle:","['388 311 726', 'info@hospicjakuba.cz', 'www.hospicjakuba.cz']"
odlehčovací služby,Odlehčovací služby (6012559),"Hospic sv. Jana N. Neumanna, o.p.s.","Neumannova 144, Prachatice I, 383 01 Prachatice",70853517,Domácí hospic sv. Markéty,Mgr. Judita Maříková,"Radomyšlská 336, Strakonice I, 386 01 Strakonice 1",1.11.2018,terénní,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
Umírající osoby v domácím prostředí
osoby se zdravotním postižením
osoby v krizi
Rodinný příslušník či osoba blízká umírajícímu v období pre finem, in finem, ante finem. Osoby ve fázi zármutku.
senioři",bez omezení věku,"počet klientů - 1
maximální okamžitá kapacita","pondělí:
7:00 - 12:00, 12:30 - 15:30
úterý:
7:00 - 12:00, 12:30 - 15:30
středa:
7:00 - 12:00, 12:30 - 15:30
čtvrtek:
7:00 - 12:00, 12:30 - 15:30
pátek:
7:00 - 12:00, 12:30 - 15:30
sobota:
neděle:","['731 680 439', 'info@hospicmarketa.cz', 'hospicmarketa@seznam.cz', 'www.hospicmarketa.cz']"
odlehčovací služby,Odlehčovací služby (1257474),"Hospic sv. Jana N. Neumanna, o.p.s.","Neumannova 144, Prachatice I, 383 01 Prachatice",70853517,Domácí hospic sv. Veroniky,Mgr. Anna Hojková,"Dobrovodská 105/32, České Budějovice 5, 370 06 České Budějovice 6",13.10.2016,terénní,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
Umírající osoby v domácím prostředí
osoby se zdravotním postižením
osoby v krizi
Rodinný příslušník či osoba blízká umírajícímu v období pre finem, in finem, ante finem.
senioři",bez omezení věku,"počet klientů - 3
jedná se o maximální okamžitou kapacitu","pondělí:
8:00 - 16:30 - dále dle domluvy a potřeb klientů
úterý:
8:00 - 16:30 - dále dle domluvy a potřeb klientů
středa:
8:00 - 16:30 - dále dle domluvy a potřeb klientů
čtvrtek:
8:00 - 16:30 - dále dle domluvy a potřeb klientů
pátek:
8:00 - 16:30 - dále dle domluvy a potřeb klientů, víkendy dle domluvy a potřeb klientů
sobota:
neděle:","['731 648 328', '737 888 964', 'vedouci@hospicveronika.cz', 'socialni@hospicveronika.cz', 'info@hospicveronika.cz', 'www.hospicveronika.cz']"
odlehčovací služby,Odlehčovací služby (4513203),"Hospic sv. Jana N. Neumanna, o.p.s.","Neumannova 144, Prachatice I, 383 01 Prachatice",70853517,Hospic sv. Jana N. Neumanna,PhDr. Robert Huneš,"Neumannova 144, Prachatice I, 383 01 Prachatice",1.1.2007,pobytové,"osoby s jiným zdravotním postižením
osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 11,poskytuje nepřetržitě,"['388 310 231', '388 311 727', 'domacipece@hospicpt.cz', 'socialni@hospicpt.cz', 'http://www.hospicpt.cz']"
odlehčovací služby,Odlehčovací služby (6770385),"Hospic sv. Štěpána, z. s.","Rybářské náměstí 662/4, Předměstí, 412 01 Litoměřice 1",65081374,"Hospic sv. Štěpána, z..s.",Mgr. Monika Marková,"Rybářské náměstí 662/4, Předměstí, 412 01 Litoměřice 1",1.1.2007,pobytové,"osoby s chronickým onemocněním
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby se zdravotním postižením",bez omezení věku,počet lůžek - 10,poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (4343228),"Hospic sv. Zdislavy, o.p.s.","Pod Perštýnem 321/1, Liberec IV-Perštýn, 460 01 Liberec 1",28700210,Hospic Sv. Zdislavy,Ing. Taťána Janoušková,"Pod Perštýnem 407/3, Liberec IV-Perštýn, 460 01 Liberec 1",1.1.2016,pobytové,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
Osoby v terminálním stádiu onemocnění (diagnózy onkologické, CHOPN, neurologické, ALS, AIDS, polymorbidita atd.).
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 7,poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (2753249),"Hospic svaté Hedviky, o.p.s.","Huťská 1496, Kladno, 272 01 Kladno 1",2319179,"Hospic svaté Hedviky, o.p.s.",Lucia Řepová,"Huťská 1496, Kladno, 272 01 Kladno 1",9.1.2014,terénní,"osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 5
Poskytována individuálně dle stanového individuálního plánu","pondělí:
10:00 - 14:00
úterý:
středa:
čtvrtek:
10:00 - 14:00
pátek:
13:00 - 14:00
sobota:
neděle:","['606 947 006', 'lucia.repova@hospicsvatehedviky.cz', 'www.hospicsvatehedviky.cz']"
odlehčovací služby,Odlehčovací služby (4829159),"HOSPIC TEMPUS, z.s.","Mratínská 564, Bašť, 250 65 Líbeznice",5894271,"HOSPIC TEMPUS, z.s.",Věra Petráčková,"Pražská 530/21, Mělník, 276 01 Mělník 1",15.4.2017,terénní,"osoby se zdravotním postižením
- domácí paliativní péče - osoby v terminálním stadiu nevyléčitelné choroby",bez omezení věku,počet klientů - 4,"pondělí:
8:00 - 17:00 - mimo uvedené hodiny dle požadavku klientů
úterý:
8:00 - 17:00 - mimo uvedené hodiny dle požadavku klientů
středa:
8:00 - 17:00 - mimo uvedené hodiny dle požadavku klientů
čtvrtek:
8:00 - 17:00 - mimo uvedené hodiny dle požadavku klientů
pátek:
8:00 - 17:00 - mimo uvedené hodiny dle požadavku klientů
sobota:
8:00 - 9:00 - mimo uvedené hodiny dle požadavku klientů
neděle:
8:00 - 9:00 - mimo uvedené hodiny dle požadavku klientů","['720 557 554', 'hospic@hospictempus.cz', 'www.hospictempus.cz']"
odlehčovací služby,Odlehčovací služby (4743378),"HOSPIC v MOSTĚ, o.p.s.","Svážná 1528, Most, 434 01 Most 1",25419561,"HOSPIC v MOSTĚ, o.p.s.","Blanka Števicová, DiS.","Svážná 1528, Most, 434 01 Most 1",1.1.2007,pobytové,"osoby se zdravotním postižením
Služba je poskytována ve formě trvalé pobytové služby osobám v terminálním stadiu života (zdravotní paliativní péče) a dále jako dočasná pobytová služba osobám, kterým jsou jinak služby poskytovány v přirozeném domácím prostředí (resp. na přechodnou dobu).
senioři
Služba je poskytována ve formě trvalé pobytové služby osobám v terminálním stadiu života (zdravotní paliativní péče) a dále jako dočasná pobytová služba osobám, kterým jsou jinak služby poskytovány v přirozeném domácím prostředí (resp. na přechodnou dobu).","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 10,poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (8209586),"Hospicová péče sv. Kleofáše, o.p.s.","Svatopluka Čecha 20, Třeboň II, 379 01 Třeboň",22707328,Odlehčovací služby - Hospicová péče sv. Kleofáše,Mgr. Irena Kalná,"Svatopluka Čecha 20, Třeboň II, 379 01 Třeboň",10.3.2016,terénní,"osoby se zdravotním postižením
Služba je určena osobám se zdravotním postižením a seniorům, se zaměřením na osoby nevyléčitelně nemocné v poslední etapě jejich života, o které je celodenně pečováno v jejich přirozeném prostředí a které si přejí ve svém prostředí zůstat.
senioři
Služba je určena osobám se zdravotním postižením a seniorům, se zaměřením na osoby nevyléčitelně nemocné v poslední etapě jejich života, o které je celodenně pečováno v jejich přirozeném prostředí a které si přejí ve svém prostředí zůstat.","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 2
v daný okamžik","pondělí:
8:00 - 14:00
úterý:
8:00 - 14:00
středa:
8:00 - 14:00
čtvrtek:
8:00 - 14:00
pátek:
8:00 - 14:00
sobota:
neděle:","['739341087', 'socialni.sluzby@kleofas.cz', 'www.kleofas.cz']"
odlehčovací služby,Odlehčovací služby (2520379),"""HVĚZDA z.ú.""","Masarykova 443, Malenovice, 763 02 Zlín 4",70829560,Odlehčovací služba Hvězda,Bc. Ludmila Weinhönigová,"Zarámí 4077, Zlín, 760 01 Zlín 1",1.1.2017,pobytové,"osoby s chronickým duševním onemocněním
osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 10,poskytuje nepřetržitě,"['577 005 590', 'sekretar.hvezdazlin@seznam.cz', 'http://www.hvezdazu.cz/']"
odlehčovací služby,Odlehčovací služby (2127435),Charita Bohumín,"Štefánikova 957, Nový Bohumín, 735 81 Bohumín 1",66182565,Charitní dům pokojného stáří sv. Františka v Bohumíně,Hedvika Běhálková,"Farská 301, Starý Bohumín, 735 81 Bohumín 1",7.7.2005,pobytové,senioři,"mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 2,poskytuje nepřetržitě,"['596 016 070', '601 351 077', 'bohumin@charita.cz', 'chdfrantisek@seznam.cz', 'http://bohumin.charita.cz/']"
odlehčovací služby,Odlehčovací služby (8409096),Charita Frýdek - Místek,"F. Čejky 450, Místek, 738 01 Frýdek-Místek 1",45235201,Charitní odlehčovací služba,Marie Medková,"Mariánské náměstí 1287, Frýdek, 738 01 Frýdek-Místek 1",1.2.2012,pobytové,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby se zdravotním postižením
senioři",od 45 let,počet lůžek - 12,poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (5002562),Charita Kojetín,"Kroměřížská 198, Kojetín I-Město, 752 01 Kojetín",70236445,Odlehčovací služby,Bc. Andrea Mičolová,"Komenského náměstí 49, Kojetín I-Město, 752 01 Kojetín",1.1.2018,terénní,"osoby s chronickým onemocněním
osoby s tělesným postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 4
Dostupná denní kapacita: 4 klienti. Maximální možná okamžitá kapacita: 4 klienti.","pondělí:
7:00 - 19:00
úterý:
7:00 - 19:00
středa:
7:00 - 19:00
čtvrtek:
7:00 - 19:00
pátek:
7:00 - 19:00
sobota:
neděle:","['581 762 160', 'info@kojetin.charita.cz', 'www.kojetin.charita.cz']"
odlehčovací služby,Odlehčovací služby (8906531),Charita Kroměříž,"Ztracená 63/1, Kroměříž, 767 01 Kroměříž 1",18189750,Charitní dům pokojného stáří,Mgr. Alena Perglová,"Cetechovice 71, 768 02 Zdounky",1.1.2009,pobytové,osoby s chronickým duševním onemocněním,"dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet lůžek - 4
Zařízení je určeno pro dospělé osoby a seniory s Alzheimerovou chorobou a jinými typy stařeckých demencí.",poskytuje nepřetržitě,"['573343648', 'chdps.cetechovice@kromeriz.charita.cz', 'http://kromeriz.charita.cz']"
odlehčovací služby,Odlehčovací služby (4157827),Charita Nový Hrozenkov,"Nový Hrozenkov 124, 756 04 Nový Hrozenkov",48773514,Víceúčelový charitní dům,Marie Surá,"Halenkov 191, 756 03 Halenkov",1.10.2008,pobytové,senioři,"mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 3
Do 31.12.2009 je kapacita klientů 6 Od 1.1.2010 je kapacita klientů 3",poskytuje nepřetržitě,"['571451548', 'marie.sura@nhrozenkov.charita.cz', 'os@nhrozenkov.charita.cz', 'http://nhrozenkov.caritas.cz']"
odlehčovací služby,Odlehčovací služby (5951749),Charita Ostrava,"Kořenského 1323/17, Vítkovice, 703 00 Ostrava 3",44940998,Hospic sv. Lukáše - odlehčovací služby,Bc. Renata Dercz,"Charvátská 785/8, Ostrava-Jih, Výškovice, 700 30 Ostrava 30",1.10.2007,pobytové,"osoby s jiným zdravotním postižením
osoby s tělesným postižením
senioři","dorost (16 – 18 let)
mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 36,poskytuje nepřetržitě,"['599 508 505', 'lukas@ostrava.charita.cz', 'www.ostrava.charita.cz']"
odlehčovací služby,Odlehčovací služby (3807413),Charita Otrokovice,"Na Uličce 1617, Otrokovice, 765 02 Otrokovice 2",46276262,Charitní domov Otrokovice,Mgr. Veronika Cívelová,"Na Uličce 1617, Otrokovice, 765 02 Otrokovice 2",1.9.2001,pobytové,senioři,"mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 2,poskytuje nepřetržitě,"['577 112 036', '577 112 036', 'chd@otrokovice.charita.cz', 'http://otrokovice.caritas.cz']"
odlehčovací služby,Odlehčovací služby (2371313),Charita Prostějov,"Martinákova 3104/9, Prostějov, 796 01 Prostějov 1",44159854,Domov Daliborka - Odlehčovací služba,Bc. Soňa Matulová,"Daliborka 3095/8, Prostějov, 796 01 Prostějov 1",1.10.2012,pobytové,"osoby s chronickým onemocněním
osoby se zdravotním postižením",- mladí dospělí (18 - 26 let) - dospělí (27 - 64 let) - mladší senioři (65 - 80 let) - starší senioři (nad 80 let),počet lůžek - 6,poskytuje nepřetržitě,"['733 741 655', '581 115 290', 'daliborka@prostejov.charita.cz', 'www.prostejov.caritas.cz']"
odlehčovací služby,Odlehčovací služby (2044921),Charita Uherské Hradiště,"Velehradská třída 247, Uherské Hradiště, 686 01 Uherské Hradiště 1",44018886,Terénní odlehčovací služba sv. Hedviky,Mgr. Martina Strýčková,"Moravní nábřeží 81, Rybárny, 686 01 Uherské Hradiště 1",1.1.2019,terénní,"osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 8
Pondělí – pátek: 6:00 – 17:00 – 8 klientů/daný okamžik; Pondělí – pátek: 17:00 – 20:00 – 4 klienti/daný okamžik; Sobota, neděle a svátky: 6:00 – 20:00 – 4 klienti/daný okamžik","pondělí:
6:00 - 20:00
úterý:
6:00 - 20:00
středa:
6:00 - 20:00
čtvrtek:
6:00 - 20:00
pátek:
6:00 - 20:00
sobota:
6:00 - 20:00
neděle:
6:00 - 20:00","['723 702 153', 'martina.stryckova@uhradiste.charita.cz', 'www.uhradiste.charita.cz']"
odlehčovací služby,Odlehčovací služby (4862723),Charita Uherské Hradiště,"Velehradská třída 247, Uherské Hradiště, 686 01 Uherské Hradiště 1",44018886,Odlehčovací služba Pohoda,Bc. Piroska Ollári,"Boršice 274, 687 09 Boršice u Buchlovic",1.1.2019,ambulantní,"osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 2
individuální práce - 2 klienti/daný okamžik skupinová práce - 5 klientů/daný okamžik","pondělí:
7:00 - 18:00
úterý:
7:00 - 18:00
středa:
7:00 - 18:00
čtvrtek:
7:00 - 18:00
pátek:
7:00 - 18:00
sobota:
neděle:","['730 550 841', 'pohoda@uhradiste.charita.cz', 'www.uhradiste.charita.cz']"
odlehčovací služby,Odlehčovací služby (4770332),Charita Uherské Hradiště,"Velehradská třída 247, Uherské Hradiště, 686 01 Uherské Hradiště 1",44018886,Odlehčovací služba,Mgr. Eva Malůšková,"Sokolská 1408, 687 25 Hluk",1.1.2009,pobytové,"osoby se zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 3,poskytuje nepřetržitě,"['725520982', 'charitnidomov.hluk@caritas.cz', 'http://uhradiste.caritas.cz']"
odlehčovací služby,Odlehčovací služby (8514547),Charita Uherské Hradiště,"Velehradská třída 247, Uherské Hradiště, 686 01 Uherské Hradiště 1",44018886,Domov pokojného stáří Boršice,Mgr. Julie Chovancová,"Boršice 274, 687 09 Boršice u Buchlovic",19.12.2005,pobytové,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s tělesným postižením
osoby se zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 8,poskytuje nepřetržitě,"['572501130', 'domov.borsice@uhradiste.charita.cz', 'http://uhradiste.charita.cz']"
odlehčovací služby,Odlehčovací služby (2611433),Charita Uherský Brod,"Mariánské nám. 13, Uherský Brod, 688 01 Uherský Brod 1",48489336,ODLEHČOVACÍ SLUŽBA STRÁNÍ,Bc. Miroslava Havlíková,"Sv. Cyrila a Metoděje 271, 687 65 Strání",1.11.2018,pobytové,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 3,poskytuje nepřetržitě,"['776 080 273', '724 651 347', 'miroslava.havlikova@uhbrod.charita.cz', 'http://ww.uhbrod.charita.cz/o-nas/']"
odlehčovací služby,Odlehčovací služby (8168977),Charita Uherský Brod,"Mariánské nám. 13, Uherský Brod, 688 01 Uherský Brod 1",48489336,Odlehčovací služba Uherský Brod,Marie Vintrová,"Pod Valy 664, Uherský Brod, 688 01 Uherský Brod 1",1.11.2018,ambulantní,"osoby s chronickým onemocněním
osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 2
Individuální práce: 2 klienti/ daný okamžik Skupinová práce: 10 klientů/daný okamžik","pondělí:
7:00 - 18:00
úterý:
7:00 - 18:00
středa:
7:00 - 18:00
čtvrtek:
7:00 - 18:00
pátek:
7:00 - 18:00
sobota:
neděle:","['724 651 272', '572 631 128', 'marie.vintrova@uhbrod.charita.cz', 'http://www.uhbrod.charita.cz/']"
odlehčovací služby,Odlehčovací služby (9232848),Charita Uherský Brod,"Mariánské nám. 13, Uherský Brod, 688 01 Uherský Brod 1",48489336,Domácí odlehčovací služba Uherský Brod,"Bc. Terezie Fojtíková, DiS.","Mariánské nám. 13, Uherský Brod, 688 01 Uherský Brod 1",1.11.2018,terénní,"osoby s chronickým onemocněním
osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 1
Územní působnost: ORP Uherský Brod","pondělí:
6:00 - 20:00
úterý:
6:00 - 20:00
středa:
6:00 - 20:00
čtvrtek:
6:00 - 20:00
pátek:
6:00 - 20:00
sobota:
6:00 - 20:00
neděle:
6:00 - 20:00 - vč. svátků","['724 651 265', '572 631 128', 'terezie.fojtikova@uhbrod.charita.cz', 'https://www.uhbrod.charita.cz/']"
odlehčovací služby,Odlehčovací služby (5923339),Charita Valašské Meziříčí,"Kpt. Zavadila 1345, Valašské Meziříčí, 757 01 Valašské Meziříčí 1",47997885,Odlehčovací služba,Bc. Anna Žáčko,"Pivovarská 2190, Rožnov pod Radhoštěm, 756 61 Rožnov pod Radhoštěm 1",1.1.2019,terénní,"osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 1
Okamžitá kapacita. Územní působnost ORP Rožnov pod Radhoštěm (Rožnov pod Radhoštěm, Zubří, Horní Bečva, Dolní Bečva, Prostřední Bečva, Hutisko-Solanec, Vigantice, Valašská Bystřice, Vidče.","pondělí:
6:00 - 20:00
úterý:
6:00 - 20:00
středa:
6:00 - 20:00
čtvrtek:
6:00 - 20:00
pátek:
6:00 - 20:00
sobota:
6:00 - 20:00
neděle:
6:00 - 20:00 - včetně svátků","['571 654 954', 'info@valmez.charita.cz', 'www.valmez.charita']"
odlehčovací služby,Odlehčovací služby (9351397),Charita Valašské Meziříčí,"Kpt. Zavadila 1345, Valašské Meziříčí, 757 01 Valašské Meziříčí 1",47997885,Dům pokojného stáří Valašská Bystřice,Jana Řiháková,"Valašská Bystřice 275, 756 27 Valašská Bystřice",13.8.2012,pobytové,"osoby s tělesným postižením
senioři","dospělí (55 - 64 let), mladší senioři (64 - 80 let), starší senioři (nad 80 let)",počet lůžek - 3,poskytuje nepřetržitě,"['603 549 618', '571 646 501', 'jana.rihakova@valmez.charita.cz', 'www.valmez.charita.cz']"
odlehčovací služby,Odlehčovací služby (9072668),Charita Vyškov,"Morávkova 745/1a, Dědice, 682 01 Vyškov 1",65841875,Odlehčovací služba,Lada Grmelová,"Morávkova 745/1a, Dědice, 682 01 Vyškov 1",1.1.2007,pobytové,"osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet lůžek - 20
okamžitá kapacita",poskytuje nepřetržitě,"['517 330 382', '602 518 703', 'lada.grmelova@vyskov.charita.cz', 'marie.rysava@vyskov.charita.cz', 'http://www.vyskov.charita.cz']"
odlehčovací služby,Odlehčovací služby (3648753),Charita Zábřeh,"Žižkova 7/15, 789 01 Zábřeh",42766796,Charita Zábřeh - Středisko odlehčovacích služeb,Mgr. Petra Bartošová,"Farní 60/1, 789 01 Zábřeh",24.8.2016,terénní,"osoby s chronickým duševním onemocněním
osoby s mentálním postižením
osoby s tělesným postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 12
Denní kapacita služby je 12 uživatelů. Okamžitá kapacita služby je maximálně 8 uživatelů (v rozmezí od 6:00 do 22:00 ve všední dny; od 22:00 do 6:00 a víkendy a svátky je okamžitá kapacita 1 uživatel). Okamžitá kapacita se odvíjí od potřeb uživatelů.",poskytuje nepřetržitě,"['736 509 439', '583 412 587', 'odlehcovaci.sluzba@charitazabreh.cz', 'www.charitazabreh.cz']"
odlehčovací služby,Odlehčovací služby (1063819),"Integrované centrum sociálních služeb Jihlava, příspěvková organizace","Žižkova 2075/106, Jihlava, 586 01 Jihlava 1",400840,"Integrované centrum sociálních služeb Jihlava, příspěvková organizace - odlehčovací služba",Ing. Mgr. Alena Řehořová,"Žižkova 2075/106, Jihlava, 586 01 Jihlava 1",9.11.2018,pobytové,"osoby s chronickým onemocněním
osoby se zdravotním postižením
mimo osob s mentálním postižením
senioři",- dospělí ( 40 - 64 let) - mladší senioři (65 - 80 let) - starší seniořii ( nad 80 let),"počet lůžek - 10
Kapacita je určena maximálně pro 10 osob, kdy jsou zvlášť vyčleněny bytové jednotky pro muže a ženy.",poskytuje nepřetržitě,"['567 301 629', 'reditel@icss.cz', 'www.icss.cz']"
odlehčovací služby,Odlehčovací služby (5948525),ITY z. s.,"Starý Jičín 34, 742 31 Starý Jičín",1821351,ITY,Mgr. Pavla Polášková Nari,"Starý Jičín 34, 742 31 Starý Jičín",21.6.2014,ambulantní,"osoby s kombinovaným postižením
osoby s mentálním postižením
rodiny s dítětem/dětmi",děti od pěti let,počet klientů - 3,"pondělí:
16:00 - 21:00
úterý:
16:00 - 21:00
středa:
16:00 - 21:00
čtvrtek:
16:00 - 21:00
pátek:
16:00 - 21:00
sobota:
neděle:",['neuvedeny']
odlehčovací služby,Odlehčovací služby (6944607),Jihoměstská sociální a.s.,"Ocelíkova 672/1, Praha 11-Háje, 149 00 Praha 415",28461835,Odlehčovací centrum,Mgr. Michaela Konvičná,"Janouchova 670/1, Praha 11-Háje, 149 00 Praha 415",1.1.1993,pobytové,senioři,služba je poskytována klientům od 60-ti let věku,počet lůžek - 10,poskytuje nepřetržitě,"['603 205 399', 'janouchova@jmsoc.cz', 'www.jmsoc.cz']"
